Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:64005000


EstacaoCodigo;NivelConsistencia;MetodoObtencaoVazoes;Data;Vazao;Status
64005000;1;1;31/10/1969;29,363;
64005000;1;1;01/11/1969;11,642;
64005000;1;1;02/11/1969;11,485;
64005000;1;1;03/11/1969;11,329;
64005000;1;1;04/11/1969;10,708;
64005000;1;1;05/11/1969;10,4;
64005000;1;1;06/11/1969;9,789;
64005000;1;1;07/11/1969;15,353;
64005000;1;1;08/11/1969;11,957;
64005000;1;1;09/11/1969;13,715;
64005000;1;1;10/11/1969;16,185;
64005000;1;1;11/11/1969;10,863;
64005000;1;1;12/11/1969;11,329;
64005000;1;1;13/11/1969;24,022;
64005000;1;1;14/11/1969;61,9;
64005000;1;1;15/11/1969;71,578;
64005000;1;1;16/11/1969;45,054;
64005000;1;1;17/11/1969;49,375;
64005000;1;1;18/11/1969;24,022;
64005000;1;1;19/11/1969;54,192;
64005000;1;1;20/11/1969;92,165;
64005000;1;1;21/11/1969;129,462;
64005000;1;1;22/11/1969;146,126;
64005000;1;1;23/11/1969;122,788;
64005000;1;1;24/11/1969;37,243;
64005000;1;1;25/11/1969;24,022;
64005000;1;1;26/11/1969;23,841;
64005000;1;1;27/11/1969;13,07;
64005000;1;1;28/11/1969;12,75;
64005000;1;1;29/11/1969;17,874;
64005000;1;1;30/11/1969;23,123;
64005000;1;1;01/12/1969;14,53;
64005000;1;1;02/12/1969;13,715;
64005000;1;1;03/12/1969;12,91;
64005000;1;1;04/12/1969;12,91;
64005000;1;1;05/12/1969;12,91;
64005000;1;1;06/12/1969;12,91;
64005000;1;1;07/12/1969;12,91;
64005000;1;1;08/12/1969;12,273;
64005000;1;1;09/12/1969;19,594;
64005000;1;1;10/12/1969;18,73;
64005000;1;1;11/12/1969;11,329;
64005000;1;1;12/12/1969;11,329;
64005000;1;1;13/12/1969;29,551;
64005000;1;1;14/12/1969;14,53;
64005000;1;1;15/12/1969;12,431;
64005000;1;1;16/12/1969;11,329;
64005000;1;1;17/12/1969;9,336;
64005000;1;1;18/12/1969;8,887;
64005000;1;1;19/12/1969;8,591;
64005000;1;1;20/12/1969;8,296;
64005000;1;1;21/12/1969;8,149;
64005000;1;1;22/12/1969;7,712;
64005000;1;1;23/12/1969;7,423;
64005000;1;1;24/12/1969;31,441;
64005000;1;1;25/12/1969;62,117;
64005000;1;1;26/12/1969;13,715;
64005000;1;1;27/12/1969;12,91;
64005000;1;1;28/12/1969;12,591;
64005000;1;1;29/12/1969;11,957;
64005000;1;1;30/12/1969;11,329;
64005000;1;1;31/12/1969;12,431;
64005000;1;1;01/01/1970;14,53;
64005000;1;1;02/01/1970;17,874;
64005000;1;1;03/01/1970;20,816;
64005000;1;1;04/01/1970;12,431;
64005000;1;1;05/01/1970;14,858;
64005000;1;1;06/01/1970;11,957;
64005000;1;1;07/01/1970;12,591;
64005000;1;1;08/01/1970;40,613;
64005000;1;1;09/01/1970;17,874;
64005000;1;1;10/01/1970;39,219;
64005000;1;1;11/01/1970;30,872;
64005000;1;1;12/01/1970;14,53;
64005000;1;1;13/01/1970;14,53;
64005000;1;1;14/01/1970;14,53;
64005000;1;1;15/01/1970;14,53;
64005000;1;1;16/01/1970;51,668;
